iata,count_97
ABE,1886
ANC,6705
ATL,151178
BDL,9773
BHM,7428
BIL,1064
BRW,269
DCA,30544
DEN,76150
DFW,126450
DLG,131
ELP,8414
EUG,1312
GNV,695
GRR,2770
GTF,677
HPN,1874
HRL,1463
IAH,58891
LFT,150
MGM,615
MIA,29760
MOT,279
MSP,63146
MTJ,51
OME,388
PHX,65845
PSC,475
RDU,9191
SIT,564
SMF,13425
STX,227
SWF,962
TUL,6021
WRG,341
AVP,557
BTV,1238
BUF,6855
BWI,26630
CAE,2974
CDV,238
CMH,15095
CRW,489
DLH,621
FSD,1136
GEG,4750
GFK,244
HLN,314
HNL,5631
HOU,22001
HSV,1943
IAD,19185
IDA,319
ILM,800
ISP,564
JAC,868
MBS,996
MFE,1182
MKE,5280
MLI,188
OGG,1302
OKC,6500
OMA,5452
ONT,11059
ORF,5813
PDX,22538
PNS,2262
ROA,904
SAN,25379
SDF,8151
SHV,1060
SLC,44593
SNA,12415
SRQ,2508
STT,653
SUX,164
TYS,2372
ABQ,13504
ACK,10
ALB,4237
AMA,1362
AVL,462
BFL,45
BIS,288
BRO,99
BTR,2015
CAK,280
CHS,2948
CLE,22647
CLT,63774
DAY,3065
DUT,257
ELM,332
FAR,592
FCA,387
FLL,17043
FNT,439
FWA,580
JAN,3179
JAX,7651
JNU,1801
KTN,961
LGA,35918
MAF,1770
MCI,19988
MDW,17233
MOB,1887
PIT,53199
RAP,213
RIC,5569
RSW,6231
SAT,12302
SBN,941
SCC,149
SEA,39655
SFO,74184
SJU,8076
TLH,784
TUS,6234
TVC,402
AKN,162
AUS,11757
BOI,4149
BOS,38863
BUR,8204
CID,1390
DSM,1812
EWR,57718
FAI,1253
GSO,5126
GST,30
GUC,86
HDN,231
LBB,1968
LEX,1475
LGB,571
LIT,4940
LSE,128
MCO,35355
MEM,21374
MHT,1761
MLU,683
MRY,464
MSN,1261
MYR,895
OTZ,355
PHL,51143
PSP,886
ROC,5596
STL,66917
ADQ,209
AGS,806
AZO,501
BET,311
BGM,389
BGR,177
BNA,17071
BZN,779
CHA,332
COS,5821
CRP,980
CVG,43026
DAB,1597
DAL,18594
DRO,44
DTW,77442
EGE,427
ERI,417
FAT,864
FAY,435
GRB,708
GSP,2743
ICT,1692
IND,13227
ITH,290
JFK,18750
KOA,355
LAN,644
LAS,48440
LAX,92589
LNK,701
LWB,21
MDT,2256
MFR,797
MLB,890
MSO,534
MSY,15773
OAK,20390
ORD,149106
PBI,10236
PSG,353
PVD,7150
PWM,1776
RNO,9206
RST,436
SAV,1970
SBA,983
SGF,256
SJC,15426
SYR,3950
TOL,604
TPA,22281
TRI,476
VPS,230
YAK,298
